Afeganistão;Afghanistan
Aland, Ilhas;Aland Islands
Albânia;Albania
Alboran-Perejil, Ilhas;Alboran-Perejil, Islands
Alemanha;Germany
Alemanha Oriental;East Germany
Burkina Faso;Burkina Faso
Andorra;Andorra
Angola;Angola
Anguilla;Anguilla
Antártica;Antarctica
Antígua e Barbuda;Antigua and Barbuda
Antilhas Holandesas;Netherlands Antilles
Arábia Saudita;Saudi Arabia
Argélia;Algeria
Argentina;Argentina
Armênia;Armenia
Aruba;Aruba
Austrália;Australia
Áustria;Austria
Azerbaijão;Azerbaijan
Bahamas;Bahamas
Barein;Bahrein
Bangladesh;Bangladesh
Barbados;Barbados
Belarus;Belarus
Bélgica;Belgium
Belize;Belize
Bermudas;Bermuda
Mianmar;Myanmar
Bolívia;Bolivia
Bósnia-Herzegovina;Bosnia and Herzegovina
Bonaire, Saint Eustatius e Saba;Bonaire, Saint Eustatius and Saba
Internação na Zona Franca de Manaus;Internment in the Manaus Free Trade Zone
Botsuana;Botswana
Bouvet, Ilha;Bouvet Island
Brasil;Brazil
Brunei;Brunei
Bulgária;Bulgaria
Burundi;Burundi
Butão;Bhutan
Cabo Verde;Cape Verde
Cayman, Ilhas;Cayman Islands
Camboja;Cambodia
Camarões;Cameroon
Canadá;Canada
Canal, Ilhas do (Guernsey);Guernsey
Canárias, Ilhas;Canary, Islands
Canal, Ilhas do (Jersey);Jersey
Cazaquistão;Kazakhstan
Catar;Qatar
Chile;Chile
China;China
Taiwan (Formosa);Taiwan
Chipre;Cyprus
Cocos (Keeling), Ilhas;Cocos (Keeling) Islands
Colômbia;Colombia
Comores;Comoros
Congo;Congo
Cook, Ilhas;Cook Islands
Coreia do Norte;North Korea
Coreia do Sul;South Korea
Costa do Marfim;Cote D'Ivore
Croácia;Croatia
Costa Rica;Costa Rica
Coveite (Kuweit);Kuwait
Cuba;Cuba
Curaçao;Curaçao
Benin;Benin
Dinamarca;Denmark
Dominica;Dominica Island
Dubai;Dubai
Equador;Ecuador
Egito;Egypt
Eritreia;Eritrea
Emirados Árabes Unidos;United Arab Emirates
Espanha;Spain
Eslovênia;Slovenia
Eslováquia;Slovakia
Estados Unidos;United States
Estônia;Estonia
Etiópia;Ethiopia
Falkland (Malvinas);Falkland Islands (Malvinas)
Faroe, Ilhas;Faroe Islands
Filipinas;Philippines
Finlândia;Finland
França;France
Gabão;Gabon
Gâmbia;Gambia
Gana;Ghana
Geórgia;Georgia
Geórgia do Sul e Sandwich do Sul, Ilhas;South Georgia and the South Sandwich Islands
Gibraltar;Gibraltar
Granada;Grenada
Grécia;Greece
Groenlândia;Greenland
Guadalupe;Guadeloupe
Guam;Guam
Guatemala;Guatemala
Guernsey;Guernsey
Guiana Francesa;French Guyana
Guiné;Guinea
Guiné Equatorial;Equatorial Guinea
Guiné-Bissau;Guinea-Bissau
Guiana;Guyana
Haiti;Haiti
Heard e ilhas mcdonald, Ilha;Heard Island and McDonald Islands
Honduras;Honduras
Hong Kong;Hong Kong
Hungria;Hungary
Iêmen;Yemen
Iêmen Democrático;Democratic Yemen
Ilha de Man;Isle of Man
Índia;India
Indonésia;Indonesia
Inglaterra;England
Iraque;Iraq
Irã;Iran
Irlanda;Ireland
Islândia;Iceland
Israel;Israel
Itália;Italy
Iugoslávia;Yugoslavia
Jamaica;Jamaica
Jersey;Jersey
Johnston, Ilhas;Johnston (Island)
Japão;Japan
Jordânia;Jordan
Kiribati;Kiribati
Laos;Laos
Lebuan, Ilhas;Lebuan
Lesoto;Lesotho
Letônia;Latvia
Líbano;Lebanon
Libéria;Liberia
Líbia;Libya
Liechtenstein;Liechtenstein
Lituânia;Lithuania
Luxemburgo;Luxembourg
Macau;Macao
Macedônia;Macedonia
Madagascar;Madagascar
Madeira, Ilha da;Madeira
Malásia;Malaysia
Malavi;Malawi
Maldivas;Maldives
Mali;Mali
Malta;Malta
Marianas do Norte, Ilhas;Northern Marianas
Marrocos;Morocco
Marshall, Ilhas;Marshall Islands
Martinica;Martinique
Maurício;Mauritius
Mauritânia;Mauritania
Mayotte;Mayotte
Midway, Ilhas;Midway, Islands
México;Mexico
Moldávia;Moldova
Mônaco;Monaco
Mongólia;Mongolia
Montenegro;Montenegro
Micronésia;Micronesia
Montserrat;Montserrat
Moçambique;Mozambique
Namíbia;Namibia
Nauru;Nauru
Christmas (Navidad), Ilha;Christmas Island
Nepal;Nepal
Nicarágua;Nicaragua
Níger;Niger
Nigéria;Nigeria
Niue;Niue
Norfolk, Ilha;Norfolk Island
Noruega;Norway
Nova Caledônia;New Caledonia
Papua Nova Guiné;Papua New Guinea
Nova Zelândia;New Zealand
Vanuatu;Vanuatu
Omã;Oman
Pacífico, Ilhas do (Administração dos EUA);Pacific, Islands of (U.S. Administration)
Pacífico, Ilhas do (EUA);Pacific Islands (USA)
Pacífico, Ilhas do (Território Fideicomisso EUA);Pacifics, Islands of (U.S. trust territory)
Países Baixos (Holanda);Netherlands
Palau;Palau
Paquistão;Pakistan
Palestina;Palestine
Panamá;Panama
Papua, Território de;Papua territory
Paraguai;Paraguay
Peru;Peru
Pitcairn;Pitcairn
Polinésia Francesa;French Polynesia
Polônia;Poland
Portugal;Portugal
Porto Rico;Puerto Rico
Quênia;Kenya
Quirguistão;Kyrgyzstan
Reino Unido;United Kingdom
República Centro-Africana;Central African Republic
República Dominicana;Dominican Republic
Reunião;Reunion
Zimbábue;Zimbabwe
Romênia;Romania
Ruanda;Rwanda
Rússia;Russia
Salomão, Ilhas;Solomon Islands
Saint Kitts e Nevis;St. Kitts and Nevis
Saara Ocidental;Western Sahara
El Salvador;El Salvador
Samoa;Samoa
Samoa Americana;Americana Samoa
São Bartolomeu;Saint Barthelemy
São Cristóvão e Névis;Saint Christopher and Nevis
San Marino;San Marino
São Martinho, Ilha de (parte francesa);São Martinho, Ilha de (parte francesa)
Sint Maarten;Sint Maarten
São Pedro e Miquelon;Saint Pierre and Miquelon
São Vicente e Granadinas;Saint Vicent and the Granadines
Santa Helena;Saint Helena
Santa Lúcia;Saint Lucia
São Tomé e Príncipe;São Tome and Principe
Senegal;Senegal
Seicheles;Seychelles
Serra Leoa;Sierra Leone
Sérvia;Serbia
Singapura;Singapore
Síria;Syria
Somália;Somalia
Sri Lanka;Sri Lanka
Suazilândia;Swaziland
Svalbard e Jan Mayen;Svalbard and Jan Mayen
África do Sul;South Africa
Sudão;Sudan
Sudão do Sul;South Sudan
Suécia;Sweden
Suíça;Switzerland
Suriname;Suriname
Tadjiquistão;Tajikistan
Tailândia;Thailand
Tanzânia;Tanzania
Terras Austrais Francesas;French Southern Lands
Território Britânico do Oceano Índico;British Indian Ocean Territory
Djibuti;Djibouti
Território da Alta Comissão do Pacífico Ocidental;Territory of the High Commissioner of the Western Pacif
Território Antártico Britânico;British Antarctic Territory
Chade;Chad
Tchecoslováquia;Czechoslovakia
Tcheca, República;Czech Republic
Timor Leste;East Timor
Togo;Togo
Toquelau;Tokelau
Tonga;Tonga
Trinidad e Tobago;Trinidad and Tobago
Tunísia;Tunisia
Turcas e Caicos, Ilhas;Turks and Caicos, Islands
Turcomenistão;Turkmenistan
Turquia;Turkey
Tuvalu;Tuvalu
Ucrânia;Ukraine
Uganda;Uganda
União das Repúblicas Socialistas Soviéticas;Union of Soviet Socialist Republics
Uruguai;Uruguay
Uzbequistão;Uzbekistan
Vaticano;Vatican City
Venezuela;Venezuela
Vietnã;Vietnam
Virgens, Ilhas (Britânicas);Virgin Islands (UK)
Virgens, Ilhas (Americanas);Virgin Islands (USA)
Fiji;Fiji
Wake, Ilha;Wake Island
Wallis e Futuna, Ilhas;Wallis and Futuna
Congo, República Democrática;Democratic Republic of the Congo
Zâmbia;Zambia
Zona do Canal do Panamá;Panama Canal Zone
Provisão de Navios e Aeronaves;Planes and ships provisions
A Designar;To define
Bancos Centrais;Central Banks
Organizações Internacionais;International Organizations
